text,diagnosis
um they were having um a family reunion ,control
and the daughter is making  um they had a picnic and the father is um reading um something to the daughter while she pours his whiskey it looks like laughs ,control
and uh one of the kids is flying a kite ,control
and one of the uncles is fishing ,control
and he just caught something ,control
couple of the relatives aunts and uncles are out sailing ,control
one of the little nieces is building a sandcastle ,control
and everybody else is back at the house playing Monopoly ,control
and it looks like they might live in Minnesota ,control
so  Lucy was out riding her bike ,control
not ready yet ,control
it's okay ,control
uh Lucy was out riding her bike ,control
and she noticed her cat was up in the tree ,control
so  her dad went up to try to get him out ,control
and um he got stuck in the tree ,control
and so um the mother ran back to the house to call the fire department to get the dad and the cat out ,control
and the dog is not helping laughs ,control
okay ,control
oh you want me to tell you a story about it ,control
okay  um they're getting ready for the birthday party ,control
and Riley got into the cake and took a nice chunk out_of it ,control
and now the mom's mad ,control
and she's chasing him with a broom ,control
and all the party guests are arriving ,control
what they shoulda done is before the guests got there um put a big flower or something laughs you_know on the cake where they wouldn'ta ,control
oh  I forgot to see how old the boy was ,control
oh  it looks like the um um ,control
I'm thinking they're in England because  or in Europe because the  I think the man is driving and he's also asking for directions ,control
and he's on the right side ,control
no  that can't be right ,control
I'm sorry ,control
okay  the woman's driving ,control
and she asks would they stop ask the farmer for directions ,control
and he tells them to  tells them the way to go ,control
and they didn't pay attention because now they're back around again ,control
and they've gone around in circles ,control
shrugs ,control
I don't know that's hard ,control
did I miss something ,control
hm yeah  I should have paid more attention to the picture ,control
the couple are arguing ,control
the couple are arguing ,control
and um they're both really angry ,control
and she says ,control
 that's it I'm out_of here ,control
 I'm going to mom's ,control
and he's sitting there going ,control
 oh  shoot ,control
 maybe she's really gone this gu time for good laughs ,control
and a few minutes later she comes back ,control
and she's like ,control
 sorry ,control
and then he sees that she's crashed the car ,control
but she brought her suitcase back home ,control
I don't know ,control
I guess everything will ,control
I don't know ,control
who draws these cartoons for you ,control
um okay ,control
um well  my husband went to work on Saturday ,control
and he was gone ,control
so  um um my younger daughter had a dance ,control
and so I took her and her  all her friends to the  Del  the  that restaurant the Delpippo Pope ,control
what is it called over in Del Vista ,control
dropped them off ,control
waited for them ,control
and meanwhile my other daughter um called me and she was sposta go on a um fraternity trip with this boy that she just met at this fraternity party ,control
um and if  when she first told me about him she told me he had a head injury and that he  she thought he did too many drugs at one time and he wasn't quite right ,control
but he was cool ,control
